"ID","SMILE ID","LABEL","kierHallSmarts.49","BCUT.0","autoCorrelationMass.0","mde.16","mde.15","xlogP","chiChain.2","petitjeanNumber","autoCorrelationCharge.2","autoCorrelationCharge.3","mde.1","mde.17","weightedPath.4","mde.2","mde.0","mde.7","mde.6","mde.5","mde.4","chiCluster.1","carbonTypes.3","carbonTypes.2","mde.10","NilaComplexity","kierValues.2","kierHallSmarts.29","kierHallSmarts.28","kierHallSmarts.27","Smax33","GATSp5","Smin","MATSe5","MATSe7","Qmin","Smin24","Smin29","QCmax","Mnc","Smin27","GATSe3","GATSe5","MATSm7","MRVSA5","MRVSA3","MRVSA2","Smax16","Smax18","PEOEVSA11","S21","Smin16","Smax8","LDI","PEOEVSA13","EstateVSA4","EstateVSA7","GATSm2","GATSm3","GATSm1","GATSm8","nring","PEOEVSA1","PEOEVSA8","slogPVSA2","slogPVSA6","QHmin","nA","AATS7v","AATS7e","AATS3p","AATS1i","ATSC7c","ATSC4m","ATSC7m","ATSC2v","ATSC6v","ATSC7v","ATSC1e","ATSC8e","ATSC0p","ATSC5p","ATSC6p","ATSC0i","ATSC4i","ATSC5i","ATSC7i","AATSC3c","AATSC1m","AATSC7m","AATSC7v","AATSC1e","AATSC3e","AATSC5i","MATS1c","MATS2c","MATS6m","MATS3e","MATS4p","MATS1s","MATS2s","MATS5s","GATS2c","GATS4c","GATS5c","GATS6c","GATS1m","GATS4m","GATS1v","GATS1e","GATS7e","GATS2i","GATS4i","GATS5s","ASP-6","AVP-7","VR1_Dt","nHBint4","nHBint10","SHsOH","minHBd","minHBint3","minHBint5","minHsOH","maxHBint2","maxHBint3","maxHBint5","maxsssCH","maxssssC","hmin","ETA_dAlpha_B","ETA_Epsilon_5","ETA_dEpsilon_D","ETA_Shape_P","ZMIC1","R_TpiPCTPC","n6Ring","nFRing","nT7Ring","nT12Ring","n5HeteroRing","n6HeteroRing","nFG12HeteroRing","RotBFrac","RotBtFrac","JGI3","JGI4","VE1_D","VE2_D","VR2_D","MinAbsEStateIndex","NumSaturatedHeterocycles","fr_NH0","fr_Ndealkylation2","fr_ester","fr_para_hydroxylation","fr_pyridine"
"1","CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4","Positive","1","11.9882654485","36.3421432791","1.08830777827","0","2.009","0.0962250448649","0.5","0.0261755418408","-0.0636852734037","1.49937190499","0","12.0329970067","1.37051942189","0","7.567904559","0","23.0629487806","15.0639971315","0","17","2","0","205.06","5.38903061224","0","3","0","0","1.06","-0.09","-0.001","-0.255","-0.355","3.085","0","0.252","-0.109","0","1.105","0.845","-0.035","7.048","0","20.498","1.035","0","0","0","0.665","0","0.137","0","0","20.498","1.35","1.697","0.925","0.566","4","14.877","22.468","0","0","0.045","0","193.82766710012","7.5832841956522","1.7321989279098","144.64839779428","-0.11505586756012","-513.30048796314","-61.969629608695","24.247920659194","-251.06191209574","19.666123478077","0.053987370982987","0.096000082703215","13.007003970172","-2.5265019859317","-3.2374008281888","77.905809383318","-18.528054367014","-6.6559446269611","-11.416130566056","0.0002265426983667","2.341532250463","-0.6735829305293","0.21376221171823","0.0011017830812855","-0.0034026621179899","-0.073954940299568","-0.4167673364978","-0.026005502630654","-0.051122287002101","-0.074595992720279","-0.15218630892445","-0.050430929712832","-0.0016466400834554","-0.063708363410781","1.0048344323694","1.0960062575533","0.96153597707353","0.74415051391663","0.7111619061656","1.3263178381392","0.78570917430207","0.70509884869126","1.1856827107371","1.015533692436","1.1483327378553","1.037240786122","0.049666677074602","0.010060604325897","356.78260305937","2","0","0","0.44740743787836","0","0","0","5.4239828409502","0","0","0","0","0.12197927424975","0.00833","0.76111","0.03294","0.06053","59.560949055738","11.546663622835","3","1","0","0","1","1","0","0.19354838709677","0.2258064516129","0.03968253968254","0.028828828828829","0.12848268369249","0.0045886672747319","12.553915680119","0.09","0","2","0","0","0","1"
"2","CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]","Positive","1","11.9884608939","29.1965532185","2.73734172742","0","-0.016","0.214076175063","0.5","0.151250448757","-0.0660766685214","0.685006710594","2.17434782218","21.702655448","1.34123076","0","4.50879771385","0","4.65844451425","0.543690186501","0","1","4","0.5","99.1","2.74122546104","0","5","0","0","0.7","-0.52","-0.352","-0.302","-0.358","2.912","0","0.396","-0.21","0","0.8","1.29","-0.011","0","7.048","29.487","0.564","0","6.327","0","-0.196","0","0.323","5.818","18.982","24.92","1.236","2.319","1.008","0.194","3","0","6.327","7.048","0","0.046","0","192.26145610717","8.4757014","1.8971962189966","157.75506765677","0.0073168439005367","-763.6721934142","-319.84660991716","572.91072588755","-28.941514674116","-661.56932734204","0.056918218934911","-0.13407339349112","7.2361461721891","-2.5686598778609","1.0165429291106","53.778649584638","-13.285646946716","-12.619481266081","-7.2760360754661","0.0029544247084835","1.8386621817413","-7.996165247929","-16.539233183551","0.0020327935333897","0.020433417587114","-0.33209161226528","-0.49088465234911","-0.08374597812307","-0.12601381014618","0.20257545829505","-0.45625495241292","-0.011230728925616","0.19837907044527","-0.14233240597339","1.2330636827731","0.93030420109074","0.97665119547218","1.0701111134055","0.62368754828532","1.9776600343372","0.82241731989784","0.65141835509505","1.0122722419555","0.80369483192278","1.2496432144873","1.0668644484829","0.048750346114593","0.0084416593638988","308.51100707382","0","0","0","0.52425193688587","-1.0032574797539","0.89551967808083","0","0","0","0.89551967808083","0","0","0.19526670235996","0.03684","0.91","0.03211","0.13258","34.560792481627","9.0424866719601","1","1","0","0","2","1","0","0.14285714285714","0.23809523809524","0.049355158730159","0.039133333333333","0.012333196531978","0.0006491156069462","7.209595211393","0.196","0","6","0","0","0","0"
"3","CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O","Positive","0","11.85","82.526989465","0","0","4.239","0","0.5","0.103996782609","-0.120091449813","7.74341649295","0.142857142857","6.13936096915","5.01269730594","0.550321208149","13.5621965525","5.19250164275","41.9958167809","29.7392708681","0.117851130198","18","1","0","349.05","6.18917311124","1","1","0","13.024","1.074","-1.249","0.061","0.093","-0.481","0","2.116","0.217","-0.086","0","1.108","1.423","0.012","27.75","0","9.884","1.006","-1.249","5.88","0","0.521","0.706","0.115","0","0","69.361","0.634","0.562","0.459","1.442","5","0","12.626","5.601","0","0.031","0","185.13721622756","7.4471536802721","1.6571352565603","142.32817571525","0.10984602211953","604.3237610519","36.374655211074","855.09552037671","-758.15058280089","-763.46520921158","-0.063806047577871","0.35712457309691","19.635771280262","-3.5172558622483","-0.92481411406898","97.829350291991","20.978758627405","-26.62758548635","-4.7962137034208","-0.0002955520387353","0.95552505593993","0.12372331704447","-2.5968204394952","-0.00088619510524821","-0.0023061028198583","-0.11994407876734","-0.36982725417285","-0.053937993968651","-0.017158712728339","-0.052761824629874","0.058879945638556","-0.12304193375491","-0.018265942593666","0.17165251950776","1.2263096304365","1.1944743923513","1.1983794294175","1.5370033635581","0.53665878568661","0.61096319880367","0.88517951702743","0.86726447698022","1.0487776923212","0.84403892379089","0.9310193486641","1.4259660193408","0.041000707162662","0.0081388448741971","796.4388883205","1","0","-0.15030220610192","-0.15030220610192","0","-0.88862183582699","-0.15030220610192","0","0","0","0","0","-0.19474934649786","0","0.75263","0.01223","0.16844","80.734918714001","9.2796397644148","5","2","0","0","0","1","0","0.19512195121951","0.31707317073171","0.051305970149254","0.04468797564688","0.080204858691603","0.0021676988835568","61.30346805291","0.426","0","2","0","0","0","1"
"4","CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC","Positive","0","11.85","51.5744687581","3.30249751436","0","1.374","0","0.5","-0.148312665894","0.51392587075","6.20258582858","0","15.6518365101","4.96237112576","1.13389341903","9.59887657285","1.76834869272","23.0220102643","12.304734775","0.492799279827","13","6","0.550321208149","282.12","8.52631578947","0","4","0","9.395","1.216","-4.14","-0.011","-0.277","-0.493","0","0","0.263","-0.157","0","0.846","1.038","-0.145","25.046","0","19.936","0.979","-0.151","11.574","0","-0.216","-0.144","0.252","0","31.636","24.658","1.025","1.187","1.421","1.084","4","4.722","18.612","15.438","0","0.024","0","226.59086175622","8.33251035","1.4980703783744","146.51175738888","-0.011638508452805","964.43467805709","-1432.8772135087","735.5260572861","1154.7460300221","-852.72854804361","-0.074497955233575","-7.2422261051039","17.868976841121","1.9605294105466","5.7284275692739","106.72136792233","-23.527703945761","-8.1226234809348","-39.63846779973","0.0039745893437471","7.3675271197548","-8.9554825844292","-5.3295534252726","-0.0010492669751208","0.01832454423387","-0.049832045895306","-0.51084407945349","-0.081762608628847","0.28637545360015","0.19142982798821","0.0012565151557047","-0.22857230221827","0.17507821829484","-0.013969132433476","1.1595765098432","1.1141437951135","1.2338158758499","1.1123179825803","0.79625550635991","0.89152301056749","0.99505721180465","0.78143300240841","1.4282028100147","0.99408787863176","1.0972537211603","1.0528105070065","0.044597808072445","0.0053807156070707","718.59341458094","1","0","0.57488534358936","0.434850718065","2.6506248849795","0","0.57488534358936","5.9347548343151","3.2581042750283","0","0","0","-0.25595693718259","0.02992","0.84797","0.0281","0.16364","63.616934728404","8.9719593994314","4","0","0","0","0","2","0","0.26190476190476","0.38095238095238","0.0419921875","0.038095238095238","0.25018149631076","0.0064149101618143","10.078218283059","0.017","0","4","0","0","2","0"
"5","CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC","Positive","0","11.85","55.5492084287","0.25","0.1490711985","2.688","0","0.473684210526","-0.19285894464","0.0482774771185","5.10098366644","0.386770627635","15.4401911794","4.12072944686","0.220806613647","13.593987533","0","23.727925441","14.0494197876","0","12","1","0","261.1","7.3587962963","2","1","0","0","1.025","0.357","0.078","-0.026","-0.495","0","2.345","0.163","-0.22","0","0.911","0.891","-0.062","65.915","0","14.784","0.609","0","0","0","0.357","1.097","0.223","0","13.307","33.217","0.739","0.902","0.537","1.142","4","4.984","53.327","0","10.045","0.031","0","185.36761522726","7.8572724675325","1.5079937464938","147.54852875537","-0.098930553675239","762.75639798225","-44.411639568049","1249.6726774195","462.76829881058","493.29372739287","-0.24261628213019","1.3880493382248","16.298046565821","5.1961981311148","2.5672837707313","96.773216647471","0.98718320775999","22.467489318175","21.969294834576","-2.8588865070504E-5","1.7995651199965","-0.2883872699224","3.2032060220316","-0.0035678865019146","0.0020150177101781","0.12838565324672","-0.24864169207497","-0.22608156100174","0.066528240635378","0.025340262711458","-0.012360553204387","0.080054950103347","-0.027402895684388","0.084474663539027","1.5397591306075","0.75452474954729","0.85054905148678","1.1354099472179","0.60783397722385","0.83644582683914","0.98023279885166","0.84161488483319","1.2214429365973","0.97191927265795","0.99015653694252","0.79392168172278","0.048037484436851","0.0070524266816326","802.82230570892","1","1","0","0.31738230868662","0.21090779623639","0.22731624021242","0","0","0.21090779623639","1.8030619447605","0","0","-0.23879009548374","0.01587","0.84247","0.01507","0.19098","56.169679506382","9.1930949848396","4","1","0","0","0","2","0","0.23076923076923","0.35897435897436","0.035416666666667","0.048065843621399","0.34608508850539","0.0096134746807054","19.956847396346","0.357","1","4","0","0","0","1"
"6","CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl","Positive","0","11.85","30.7928908117","0.25","0","2.68","0","0.461538461538","-0.0141553843888","-0.0548991261902","5.95032500785","0.298142397","9.38573976996","2.35822899044","0.516459056609","4.13085192089","0","13.9500079184","10.2042183847","0","7","1","0","67.04","5.55149744339","1","1","0","0","0.552","0.442","0.054","-0.176","-0.382","0","2.469","0.074","-0.087","0","0.96","0.815","-0.035","24.951","0","9.884","1.136","0","0","0","0.726","1.213","0.141","0","12.966","35.972","0.764","0.734","0.505","1.495","2","4.984","5.517","0","5.023","0.024","0","132.9878990479","7.2783588598131","1.3022781353946","147.331588822","-0.046750349790153","-87.407513060328","-494.62362225564","162.56332305379","435.57974979088","-643.54943728783","0.02273971918403","-0.10989243576389","11.893853627784","1.4607292242007","1.570895988625","68.244521637726","-9.0349489215033","3.9316210347801","-13.787124331937","-0.0012051142699644","1.2242719891671","-4.6226506752864","-6.0144807223162","0.0004640759017149","-0.0054037840487308","0.028908978196913","-0.29126913655827","-0.031777946200422","0.10544848328699","-0.15508743273567","-0.078762685243364","-0.024904189723524","0.1604153712637","-0.043308862765547","1.4164569820993","0.86277414401219","0.77330839178109","0.70952501188066","0.77433914650684","0.84806065565717","1.1130801919132","0.82919819238068","0.98413581033475","1.2397386173886","1.068949371957","0.92773439391235","0.054739339692245","0.011901294016816","140.64483000459","0","0","0","0.18402273872512","0","0.45785010700046","0","0","0","0.45785010700046","0.48472867850844","0","-0.1371891613199","0.0039","0.7646","0.02112","0.20288","39.413693960833","7.5177293083159","2","1","0","0","0","1","0","0.34782608695652","0.52173913043478","0.044354838709677","0.036543209876543","0.2450206954173","0.01113730433715","8.8827771524062","0.442","0","2","0","0","0","1"
"7","CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl","Positive","1","11.85","35.5606635489","0","0","3.026","0","0.444444444444","-0.014075254817","-0.0259574506072","3.4057578437","0","6.56186023665","1.47938866366","0.5","4.32963838587","0","16.8988089019","12.3602602972","0","12","0","0","109.04","3.67346938776","2","0","0","0","0.596","0.798","-0.014","-0.203","-0.34","0","2.226","0.057","-0.079","0","0.923","0.954","-0.104","32.085","0","4.9","1.317","0","0","0","0.798","1.123","0.133","0","21.166","60.293","1.002","1.087","0.703","1.527","3","0","11.375","0","5.023","0.03","0","164.94613098632","7.3857369882353","1.6717063367547","143.94600939238","0.040547696525832","229.64776649062","-397.57512597188","728.31291824402","-94.017273712386","-548.75979978174","0.056066875000001","-0.042168499999999","13.024710231369","-1.4690831812545","-0.40675241576172","62.004826490195","33.406374313635","-21.149131419008","-27.238779240618","-0.00015159927502832","3.4731216591965","-4.6773544231985","-6.4559976444911","0.0013349255952381","-0.0030003057795699","-0.21803228267019","-0.17601589284846","-0.21149075027896","-0.026495886515833","-0.085828990423387","0.086824924647528","0.0025352765373347","-0.059867355106846","0.037614456077935","1.8617204678926","0.85402748917149","0.69523445022237","1.036170836881","0.65495461026155","0.90377039196314","0.91911226707079","0.75550019639043","1.1006602794951","0.87198305301463","0.80585861840767","0.87246934934835","0.045341127775244","0.013604149896167","553.24075947336","0","0","0","0","0","0","0","0","0","0","0","0","-0.11969135802469","0","0.78345","0","0.15803","46.038012463702","6.1741536458333","3","3","0","0","0","1","1","0.17391304347826","0.30434782608696","0.041666666666667","0.04637037037037","0.35623015061956","0.016963340505693","8.792471551194","0.798","0","2","0","0","1","0"
"8","C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O","Positive","0","11.9943227538","28.9053921495","0","0","1.809","0","0.454545454545","-0.0871583902744","-0.155627905818","0","0.436435780472","9.94567179965","0","0","10.756665791","0","19.7093426606","9.00321211126","0","6","2","0.944940787421","177.07","3.36","2","0","0","9.257","1.118","-1.275","-0.066","0.27","-0.477","0","1.956","0.341","-0.211","0","0.894","1.148","0.282","31.079","0","9.884","0.473","0","5.429","0","-0.48","0.942","0.238","5.969","12.263","5.317","0.772","0.886","0.663","0.48","4","4.795","11.204","0","0","0.029","0","156.166981184","8.1689651111111","1.3729666099427","148.89297915075","-0.066853515004607","48.32310523207","-1022.3095979434","-19.459198757039","-785.01118584895","-635.55688044146","-0.41609389795918","-0.43877585714286","9.4576553821611","-2.4505431620364","-4.717912917453","84.170499230816","-9.6953057301657","-19.421516931393","16.795049423441","-0.0022613730342846","1.1316710421633","-11.358995532704","-7.0617431160162","-0.0092465310657596","-0.0031863469387755","-0.17340640117316","-0.4063439540553","-0.02986893312222","-0.10322336370729","-0.027200044041037","-0.071186065529849","-0.029638854296388","0.11745797906871","0.021142307256878","1.0002159940167","0.66604584642402","0.80506707448082","1.0725172041163","0.71168394501895","0.89958075008352","0.9448843705715","0.69639922776685","1.5182164338869","1.1313772278714","1.0645915877129","0.99091677313969","0.0396859291161","0.0063399091359201","196.50862409745","2","0","0.6322411912232","0.31056659247338","0.60760590301525","0","0.6322411912232","7.1681091839967","0.60760590301525","0","0.18753123162845","0","0.015627322688334","0.04226","0.8467","0.04556","0.11703","37.750829730458","4.7072448730469","3","1","0","0","0","2","0","0.11111111111111","0.18518518518519","0.043604651162791","0.044431216931217","0.12702524684572","0.0052927186185716","11.770946995707","0.137","1","2","0","0","0","1"
"9","CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl","Positive","0","11.85","49.8658210208","0.766309432394","0","4.724","0","0.466666666667","-0.108395535411","0.049070919409","3.68890608965","0.766309432394","13.0653837251","4.22550707162","0.5","13.1899478857","0","35.023281699","17.7068893711","0","24","0","0","313.06","5.71315215235","1","0","2","0","0.936","0.13","0.262","-0.232","-0.354","0","0","0.09","-0.089","4.901","0.979","0.395","-0.079","5.317","4.992","9.551","1.011","0","0","0","0.697","0","0.136","0","0","41.93","0.669","0.631","0.479","1.383","5","4.992","33.466","0","10.045","0.025","0","192.46502216954","7.5047837530864","1.6246499032268","143.64121415195","-0.0042013953420719","-437.90661005289","707.51884749157","-56.393695256306","-992.16490247021","539.75834391866","-0.062222381487606","-0.56011940628099","14.064502449461","-3.1883777681969","-4.2016390471021","85.026416065714","39.191152895738","-5.1216715727807","-0.47165317215905","8.036225396702E-6","1.1040978707606","4.3674002931578","3.3318416291276","-0.0010546166353831","-0.0064074885537191","-0.0385088088179","-0.45795348449093","0.044498793889015","-0.060361069071029","-0.1476315686428","0.075090482648108","-0.1690689899728","0.17443767607856","0.10597504670578","1.0468543863055","1.3770971185484","0.77636183087086","1.1798825419988","0.5603450907582","0.85477276780066","0.80408679068918","0.71500564117409","0.97633921627324","1.3388806105152","0.86806608830595","0.85740357040591","0.041548847105872","0.0057169893985498","1561.7434519545","0","1","0","0.29069023279822","0","0.25134323879619","0","0","0","0.67074531525062","0.18070846972092","0","-0.15390200656166","0","0.77563","0.01441","0.14693","77.80730290215","7.9029296875","5","3","0","0","0","1","1","0.10810810810811","0.21621621621622","0.036830357142857","0.047030303030303","0.20529972769821","0.0062212038696427","11.83524532443","0.13","0","3","0","0","2","0"
"10","CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl","Positive","0","11.85","30.4329105104","0","0","2.966","0","0.444444444444","0.0107195202857","-0.0640300264604","3.8816471279","0","6.56329424387","1.47938866366","0.5","4.15759804321","0","20.9172615081","18.2109426185","0","10","0","0","114.03","4.11032990806","2","0","0","0","0.737","0.816","-0.101","-0.294","-0.341","0","2.239","0.046","-0.067","0","0.925","0.971","-0.131","32.085","0","4.9","1.43","0","0","0","0.816","1.132","0.116","0","22.502","60.293","0.683","0.613","0.479","1.276","3","0","0","12.842","5.023","0.03","0","151.98062923979","7.3372901698113","1.5009173617485","144.79344707225","0.028351469635093","54.596512359012","-437.38944929432","500.81058261126","230.84368585798","-542.311026712","0.079968720000001","-0.15105236","11.571696650524","-1.981798128234","1.2678024439071","64.578473908472","30.678368006421","-24.31704686389","-26.151929176106","-0.00035203602404131","1.9216415521724","-4.1263155593804","-5.116141761434","0.0017014621276596","-0.0023549391150442","-0.18283493882624","-0.13195167590522","-0.15659222467907","0.016103139506826","-0.075875879944529","0.049635995918314","0.070372908769567","0.036857530768662","-0.03680554452439","1.7787568200347","0.96968568408801","0.64707446384941","0.91157110913765","0.7110390552256","0.80224859644072","1.0146606755178","0.76451669518632","1.2755932112753","0.98510017898543","0.86451605856621","0.93882137061825","0.046756455400774","0.010910549460904","265.90490989572","0","0","0","0","0","0","0","0","0","0","0","0","-0.14168209876543","0","0.76753","0","0.15564","46.174873803055","5.5932549112801","2","3","1","0","0","0","1","0.16666666666667","0.29166666666667","0.038851351351351","0.037075163398693","0.37433857590386","0.017015389813812","9.0482464867786","0.816","0","2","0","0","1","0"
