"ID","SMILE ID","LABEL","kierHallSmarts.49","BCUT.0","autoCorrelationMass.0","mde.16","mde.15","xlogP","chiChain.2","petitjeanNumber","autoCorrelationCharge.2","autoCorrelationCharge.3","mde.1","mde.17","weightedPath.4","mde.2","mde.0","mde.7","mde.6","mde.5","mde.4","chiCluster.1","carbonTypes.3","carbonTypes.2","mde.10","NilaComplexity","kierValues.2","kierHallSmarts.29","kierHallSmarts.28","kierHallSmarts.27","Smax33","GATSp5","Smin","MATSe5","MATSe7","Qmin","Smin24","Smin29","QCmax","Mnc","Smin27","GATSe3","GATSe5","MATSm7","MRVSA5","MRVSA3","MRVSA2","Smax16","Smax18","PEOEVSA11","S21","Smin16","Smax8","LDI","PEOEVSA13","EstateVSA4","EstateVSA7","GATSm2","GATSm3","GATSm1","GATSm8","nring","PEOEVSA1","PEOEVSA8","slogPVSA2","slogPVSA6","QHmin","nA","AATS7v","AATS7e","AATS3p","AATS1i","ATSC7c","ATSC4m","ATSC7m","ATSC2v","ATSC6v","ATSC7v","ATSC1e","ATSC8e","ATSC0p","ATSC5p","ATSC6p","ATSC0i","ATSC4i","ATSC5i","ATSC7i","AATSC3c","AATSC1m","AATSC7m","AATSC7v","AATSC1e","AATSC3e","AATSC5i","MATS1c","MATS2c","MATS6m","MATS3e","MATS4p","MATS1s","MATS2s","MATS5s","GATS2c","GATS4c","GATS5c","GATS6c","GATS1m","GATS4m","GATS1v","GATS1e","GATS7e","GATS2i","GATS4i","GATS5s","ASP-6","AVP-7","VR1_Dt","nHBint4","nHBint10","SHsOH","minHBd","minHBint3","minHBint5","minHsOH","maxHBint2","maxHBint3","maxHBint5","maxsssCH","maxssssC","hmin","ETA_dAlpha_B","ETA_Epsilon_5","ETA_dEpsilon_D","ETA_Shape_P","ZMIC1","R_TpiPCTPC","n6Ring","nFRing","nT7Ring","nT12Ring","n5HeteroRing","n6HeteroRing","nFG12HeteroRing","RotBFrac","RotBtFrac","JGI3","JGI4","VE1_D","VE2_D","VR2_D","MinAbsEStateIndex","NumSaturatedHeterocycles","fr_NH0","fr_Ndealkylation2","fr_ester","fr_para_hydroxylation","fr_pyridine"
"1","CN(C)C(=N)N=C(N)N","Negative","0","11.9936563","10.79990151","0","0.944940787","-0.539","0","0.4","0.220604517","-0.162664091","0","0.5","12.9227113","1.414213562","0.5","0.5","0","0","0","0","0","0","0","8.05","4.5","1","0","1","0","1.8","-0.089","-1","0","-0.37","0","1.5","0.22","-0.307","3.458","1.8","1.8","0","14.095","16.46","4.9","0","0","5.96","9.983","0","0","0.458","0","4.9","4.992","0","1.8","1.8","0","0","5.409","0","0","0","0.046","0","31.08374443093","6.718464","1.1797751573333","169.27408148152","0.12064315991353","-29.786207895","712.95156294","315.07260145928","-595.56256496184","727.75987097912","-0.44354849","0","3.0551212650025","-0.75307020174322","-1.7948065892749","25.152472914123","14.873788630125","-9.7337222959392","1.3109375375021","-0.015355675197291","-2.7356393064474","29.7063151225","30.323327957464","-0.023344657368421","-0.026507203333333","-0.3743739344592","-0.93790344505841","0.66028977047074","-0.69953825982521","-0.42428829507159","0.052451170717536","-0.44531498038734","0.47231112989915","-0.22163845106052","0.40119047846382","0.5322946468229","1.5659157933137","1.0789598762061","1.0905587131386","0.9779319060885","1.2880774111079","1.424560192629","0","0.42441735113887","0.48478172748121","1.3395302887422","0","0","35.180771738413","6","0","0","0.631875","0","0","0","3.1539338541667","0","0","0","0","0.22743055555555","0.05556","0.7","0.22222","0.55","20.968371353425","1.6444444444444","0","0","0","0","0","0","0","0.25","0.75","0.0625","0.053333333333333","0.04650545003771","0.0051672722264122","3.9089746376014","0.051","0","2","0","0","0","0"
"2","COC(=O)C=CC(O)=O","Negative","0","11.98873976","12.09787614","0","0","-0.095","0","0.5","0.143151994","-0.011176508","0.577350269","0","0","0.632455532","0","0.333333333","0","2.828427125","1","0","2","2","0.814325285","8.04","5.87755102","0","0","0","7.963","0","-1.166","1.16","0","-0.478","0","0","0.33","-0.359","0","1.286","0","0","7.11","0","0","0","0","0","0","0","0","0.487","11.939","7.11","4.737","0.8","1.286","1.125","0","0","0","7.11","14.326","0","0.067","0","86.68834287476","9.1349485714286","1.1618009839394","149.84976611469","-0.084084252411091","-353.29682278667","-362.50681323556","75.595530222537","-2.4487005055982","-132.02964026379","-0.50027281777778","0.33573765333333","3.0466633955897","-0.0013357558814846","-0.41491270231909","18.34642055535","-3.6727504391356","1.3096952725158","2.4761779651368","0.00035008792187535","-2.0284761955555","-51.786687605079","-18.861377180542","-0.035733772698413","-0.070210817309941","0.09354966232256","-0.74537634648607","0.30445780794461","0.086956297430388","-0.35685080270898","-0.16952688703762","-0.18510017491464","0.24309602737529","0.88907814636307","0.67123895697986","1.50141655125","0.084458827082624","1.1129308500098","0.73011122351534","1.3997482549175","1.0968106183454","0.90956573328849","2.3009705027101","0.94569291574416","1.0508025017947","0.17363524568251","0.11785113019776","0","40.232737600677","0","0","0.86660572562358","0.86660572562358","0","3.5630735132826","0.86660572562358","8.4278241981141","0","8.7907521912005","0","0","0.43701388888889","0.07408","0.96667","0.07407","0.3913","23.662309772273","2.0444444444444","0","0","0","0","0","0","0","0.375","0.625","0.035714285714286","0.064","0.014242783136103","0.001582531459567","4.4703041778531","0.669","0","0","0","1","0","0"
"3","OC(=O)C=CC1=CC=CC=C1","Negative","0","11.85","12.54893807","0","0","1.887","0","0.428571429","0.010314082","-0.002255904","0","0","0","0","0","0.333333333","0","6.08969744","9.563073858","0","7","1","0.5","11.02","3.786982249","0","0","0","8.288","1.746","-0.922","-0.476","-1","-0.478","0","0","0.328","-0.122","0","0.611","1.746","-1","0","0","0","0.898","0","0","0","0.898","0","0.168","5.969","0","0","0.47","0.611","0.556","0","1","0","0","4.795","0","0.062","0","114.24788408815","8.288394","1.3642143357784","142.3619985435","-0.014246087914415","-31.283418285318","-101.14499128255","-342.48841537881","-97.17885821591","7.8157744507974","-0.16774105263158","-0.25019202216066","4.5429829176164","-0.52237852359267","-0.56062701279572","25.983452402343","-3.2118853053718","-4.6986107715087","1.7795066827573","-0.0020009387600077","-1.4251742160665","-8.4287492735457","0.65131453756645","-0.0088284764542936","-0.0075825908982984","-0.20428742484821","-0.67706961777653","0.25344317259022","-0.15936482705408","-0.079128234902029","-0.075422751482771","-0.14317965779468","0.29884828218359","0.13636034881799","0.46978823474711","0.76172911553162","0.8053473161365","1.5923926485306","0.78865257177817","0.98456898560321","0.85629711582038","0.76560991041993","2.5669107536326","1.1519624807579","1.0120539250313","0.71202884774343","0.07398595981259","0.0084176018259428","52.551409905976","0","0","0.79607178287982","0.79607178287982","0","0","0.79607178287982","8.0290349130793","0","0","0","0","0.32","0.0303","0.79445","0.04495","0.12903","32.489805091329","5.6120283018868","1","0","0","0","0","0","0","0.18181818181818","0.27272727272727","0.01875","0.044444444444444","0.10643297985913","0.0096757254417387","5.1080487753705","0.898","0","0","0","0","0","0"
"4","CC(C)C1=CC(O)=C(C)C=C1","Negative","0","11.85","11.77446904","0","0","2.487","0","0.5","-0.003599941","0.000871181","2.94389819","0","0","4.771624373","0.721124785","2.941682753","0","7.065551058","1.650963624","0","4","0","0","11.01","2.214532872","0","0","0","9.349","2.2","0.399","-0.34","0","-0.508","0","0","0.118","-0.086","0","1.179","2.2","0","0","0","0","1.188","0","0","0","0.399","0","0.1","0","5.563","19.914","0.733","1.179","0.5","0","1","0","0","0","0","0.024","0","78.885385539266","6.94656","1.374770791131","143.88257145115","0.018619808886807","-454.1445100384","-135.1144954224","337.59884486024","-292.14178305612","-295.06355150556","-0.094504639999999","0.1949876352","5.9475829175498","0.082014038740953","-0.21386796067646","32.838520363606","-16.604432494256","-0.26051634765719","-7.8811433965708","0.00014640943281832","-0.79773399680003","-6.4340235915428","-14.050645309789","-0.0037801855999999","-0.0002654245433962","-0.0051081636795528","-0.5361820281799","0.075230888623968","-0.4274029534344","-0.0060644190534096","-0.21407119948789","-0.17105263157895","0.11852305181559","0.066133470932233","0.50112341614773","1.1775395852852","0.97766845438659","2.1984983403512","1.0750156252877","1.1960683846987","1.1060847487027","0.99169049438531","0.14862530367729","0.97720725480652","1.1473588172585","0.8937048503612","0.065206376991939","0.012547202396279","168.95369454732","0","0","0.56402777777778","0.56402777777778","0","0","0.56402777777778","0","0","0","0.4875","0","0.16881944444444","0.01515","0.73056","0.03914","0.34375","25.007693045289","3.422842920354","1","0","0","0","0","0","0","0.090909090909091","0.45454545454545","0.049107142857143","0.081666666666667","0.057098542083056","0.0051907765530051","7.3574943909708","0.399","0","0","0","0","0","0"
"5","COC1=CC=C(C=C1)C(O)=O","Negative","0","11.85","13.32340711","0","0","0.589","0","0.428571429","0.021745975","0.020192135","1.154700538","0","0","0.766309432","0","1.310370697","0","7.065551058","3.301927249","0","5","1","0.5","11.03","2.5","0","0","0","8.508","1.719","-0.923","-0.656","-1","-0.497","0","0","0.335","-0.192","0","1.058","1.719","-1","7.11","0","0","0.662","0","0","0","0.269","0","0.308","5.969","19.243","0","0.655","1.058","0.833","0","1","0","12.673","0","0","0.063","0","171.94708064811","8.481972","1.4262965658656","145.15662720929","-0.055763130859866","-477.94389951801","-76.021529429363","156.75619940064","313.13282227137","-159.3941551846","-0.28243578947368","-1.1389873240997","4.3648459273006","-0.17063089199262","1.0856756211357","25.437225262501","-14.751789709732","-1.9879311910137","-5.7283550625037","0.0013315282691345","-0.62898824376732","-12.670254904894","-26.565692530767","-0.014865041551247","-0.017578209833795","-0.070997542536204","-0.59484629888388","0.099846841478531","0.75391851609129","-0.13118279648804","-0.36468655750545","-0.14894040111357","0.21799309992183","-0.14221493096983","0.81953721287987","1.0059523892877","0.98402512815736","0.17941315210975","0.75589302446591","1.3296530241607","0.93830645154053","0.85430350547708","1.6779062198387","0.87158954711329","1.2744738563559","1.1410339915751","0.066322291198071","0.0075546695122131","52.507108635926","0","0","0.76673611111111","0.76673611111111","0","0","0.76673611111111","7.9431858063731","0","0","0","0","0.25635204081633","0.04546","0.85833","0.05076","0.23333","25.467527093627","3.8666294642857","1","0","0","0","0","0","0","0.18181818181818","0.36363636363636","0.038461538461538","0.052777777777778","0.03134808434992","0.0028498258499927","6.2425110858501","0.269","0","0","0","0","0","0"
"6","CC(C)=CCCC(C)=CCO","Negative","0","11.99624949","11.77446904","0","0","2.524","0","0.5","-0.013664427","0.023366186","4.282910726","0","0","2.683281573","0.721124785","0.25","0","4.640391524","4.508797714","0","2","0","0","10.01","7.901234568","0","0","0","8.553","0.917","0.167","-0.083","-0.267","-0.392","0","0","0.061","-0.089","0","0.611","0.917","-0.267","6.607","0","0","0","0","0","0","0","1.088","0.08","0","11.146","26.847","0.5","0.611","0.55","5.5","0","0","6.607","0","0","0.028","0","128.87271259502","7.2634024516129","1.2271255749016","145.81286146573","-0.033875903009582","56.273860564804","-474.20306550773","8.1353505135569","469.37181539256","-884.98339490818","-0.085600903686086","0.26281020214031","6.5179195884173","1.0203754101231","2.0096671906742","35.849691529859","-7.8896557736121","6.1103967865369","-21.702411614375","-0.0004796439030666","-2.2133744287413","-15.296873080894","-28.547851448651","-0.0030571751316459","-0.0021214805503652","0.096990425183125","-0.39798727480764","-0.064909637980661","0.18174190589768","-0.054370891411667","-0.082049961814942","-0.15624176391832","-0.0050015135564963","-0.11364006404963","0.90206814880348","0.44452509630018","1.1402331831476","0.99735591490945","1.2821928279921","0.86927804531268","1.3501088395013","1.0408276629092","0.99689457149782","1.089992709782","1.0371291505974","1.367024983806","0.093892760796171","0.024033907338749","55.098409571875","0","0","0.66029765841522","0.66029765841522","0","0","0.66029765841522","0","0","0","0","0","0.081269486961451","0.01515","0.73056","0.03914","0.34375","26.097055487805","1.8636363636364","0","0","0","0","0","0","0","0.4","0.8","0.055555555555555","0.02","0.016000650393675","0.0014546045812432","5.0089463247159","0.167","0","0","0","0","0","0"
"7","CCCCCCCCCC=O","Negative","0","11.98857634","11.77446904","0","0","4.57","0","0.5","-0.019288388","-0.002337849","2.170156537","0","0","0","0","0","0","0","13.18512474","0","0","1","0","10.01","10","0","0","0","0","0.917","0.758","-0.083","-0.175","-0.303","0","0","0.119","-0.082","0","0.688","0.917","-0.175","0","0","0","0","0","0","0","0","1.373","0.061","0","38.525","6.924","0.611","0.688","0.55","1.833","0","0","0","4.795","0","0.023","0","99.875433788611","7.1392657142857","0.94321357008415","145.23144958277","-0.00026739263620179","12.874099771072","9.2717244328826","-736.16965026387","7.2559104904987","7.0958951339184","-0.0049090364203943","-0.043691088449531","6.7478940524768","-0.027147590749504","-0.027519192234827","37.063873451735","-0.25699431892884","-0.26297292081988","-0.27493012460197","-5.334790477463E-5","-1.6193933119667","0.22075534364006","0.16894988414091","-0.00016363454734648","5.3069505589775E-5","-0.0043828820136647","-0.18124596647209","-0.17098710154929","0.0068360453436878","0.0014348064880459","-0.0017827476520167","0.059025243309002","-0.031125944423102","-0.016989811435523","0.87994339775538","0.73067820629057","0.79821879774342","0.890603603039","1.308663181072","0.90002147474644","1.4950058513366","0.56636124859051","1.0775947273503","1.4368383935671","0.93043437693149","0.7902030109489","0.10303300858899","0.057845541626435","2000029.9561582","0","0","0","0","0","0","0","0","0","0","0","0","0.2128305785124","0.01515","0.7697","0","0.15625","32.899925943412","1.1515151515152","0","0","0","0","0","0","0","0.8","0.9","0.015625","0.011428571428571","5.5511151231258E-17","5.0464682937507E-18","181820.90510529","0.758","0","0","0","0","0","0"
"8","CC1CCC2=C1C=NC=C2C=O","Negative","0","11.85","13.13444934","0","0","0.669","0.096225045","0.5","-0.000519254","-0.063732677","1.473423192","0","3.045353797","1.807204007","0","3.965406457","0","10.23142789","3.701071725","0","0","3","0","37.02","1.44","0","1","0","0","2.671","0.576","-0.672","0","-0.298","0","0","0.151","-0.095","0","0.834","3.13","0","0","0","4.984","1.264","0","0","0","0.775","1.155","0.106","0","11.127","11.908","0.432","0.838","0.598","0","2","9.779","0","6.421","0","0.024","0","48.060373162442","7.636032","1.4172869297026","143.03964860904","-0.007317258309315","-234.33926113422","54.21681289225","193.54228966431","-109.98426079056","285.46442638028","0.0067996143667306","0","5.3845285629595","0.30978092729368","-0.08885267402325","33.678316581477","-22.195054597572","10.855596050805","8.6138681887951","-0.00057457232101706","1.4585650514335","6.0240903213611","31.718269597809","0.00028331726528044","0.0030071463825399","0.23599121849575","-0.16935927561605","-0.21363892768885","-0.23542869342962","0.053989240178766","-0.27542310071653","0.052909538621047","-0.023291981626822","-0.10575427682737","0.91458133955596","0.82642005713828","1.3555162810605","1.5936828881043","0.80053670840192","1.0737018869867","0.98579988417849","0.53191668888529","3.2280873211016","0.9242829181814","1.2240601596308","1.3215396578538","0.053510641091879","0.010072984033852","106.06099972262","0","0","0","0","0","0","0","0","0","0","0.5762962962963","0","0.19972222222222","0.02222","0.79722","0","0.14535","21.456750020114","4.0593055555556","1","1","0","0","0","1","0","0.076923076923077","0.15384615384615","0.059232026143791","0.041111111111111","0.087147211289899","0.0072622676074916","12.266743824049","0.576","0","1","0","0","0","1"
"9","COC1=CC=CC=C1C=CC=O","Negative","0","11.85","13.54893807","0","0","1.153","0","0.428571429","-0.007659418","0.0136757","1.614514576","0","0","0.816496581","0","1","0","6.883202347","8.364004083","0","7","1","0","12.02","3.114186851","0","0","0","0","1.238","0.742","-0.25","-1","-0.496","0","0","0.142","-0.132","0","0.943","1.238","-1","7.11","0","0","0.909","0","0","0","0.774","0","0.189","0","6.076","0","0.707","0.943","0.825","0","1","4.795","7.11","4.795","0","0.062","0","91.455771763372","7.4832669473684","1.4597161517433","142.38203032654","0.035438067761561","-326.31888501653","157.62280117355","26.38068169988","82.742172146101","188.33958600082","-0.011391272727272","-0.48558598347107","5.2762057791764","-2.5172248624303","-0.017222246050115","29.903575399267","-7.7485399766006","-14.267713763705","1.5342783551997","0.0017176234501738","0.84089122314048","8.2959369038713","9.9126097895167","-0.00051778512396691","-0.0044058651587647","-0.37546615167646","-0.25817466980418","-0.18672501904156","0.16904288038075","-0.051486095260635","-0.16500581613685","-0.0097408185041132","-0.1149461126825","-0.0056484790953738","1.2307564266747","1.0481000587078","1.002216521503","0.68912304744759","0.78093791603042","1.1665773272225","0.99408345504292","0.68716405715809","1.1879428077536","0.9062045998603","1.1139076886123","0.66767359834205","0.073953459746853","0.008982338729859","70.566794749892","0","0","0","0","0","0","0","0","0","0","0","0","0.17947704081633","0.02778","0.82778","0","0.14706","31.367480654956","5.5706730769231","1","0","0","0","0","0","0","0.25","0.33333333333333","0.035714285714286","0.034747474747475","0.2147501443258","0.017895845360484","6.2042621054776","0.742","0","0","0","0","1","0"
"10","C=CCSS(=O)CC=C","Negative","1","11.79","22.02997511","0","0","0.237","0","0.428571429","-0.018624373","-0.009768148","2.874432896","0","0","0","0.142857143","0","0","0","2.40685195","0","2","2","0","8.03","5.87755102","0","0","0","0","0.277","-0.793","-0.147","0.275","-0.248","0","0","0.052","-0.111","0","1.457","1.15","0.358","11.506","0","0","0","0","0","0","0","0.75","0.108","0","10.794","13.158","1.558","1.552","0.879","0","0","0","15.584","9.832","0","0.043","0","86.980643740676","6.91953025","1.6121474803481","140.00719355975","0.0039830649953781","-643.04640839335","365.80588926593","-279.65377886369","-260.48588375015","190.71752318472","0.24298315512465","0.075416022160663","10.094267816653","-2.869071449747","-0.36479472106384","31.688284012032","-0.70559524368521","-5.8872202159384","3.8995338368476","9.9323055601399E-5","37.701455978609","22.86286807912","11.919845199045","0.013499064173592","-0.0087779412027522","-0.28034381980659","-0.28857779583603","-0.17882442597612","-0.071921664163007","-0.14523587466857","-0.13192946925943","-0.20599706158636","-0.10210692825701","0.011479766775316","0.99399263863095","1.0359110968461","1.3511805129096","1.146535467864","0.63069548948133","1.4393657181285","1.024570654746","0.35355709182194","0.069701617256579","1.2879002749325","1.0259576071948","1.4613927714692","0.10206207261597","0.093632958801498","41.346682535698","0","0","0","0","0","0","0","0","0","0","0","0","0.1428549382716","0","0.84445","0","0.26667","24.875070106182","1.6","0","0","0","0","0","0","0","0.625","0.625","0.053571428571428","0.026666666666667","0.04514630591542","0.0050162562128244","4.5940758372997","0.568","0","0","0","0","0","0"
